league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,market_tier,market_tier_score,market_tier_reason,market_tier_flags,market_tier_score_league_relative,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Bundesliga,2024,2024-11-30,Augsburg,Bochum,1.73,4.0,4.5,6.2,4.97,Home,MEDIUM,0.9682,0.0252,0.0066,OVER likely,BTTS YES likely,True,True,False,,10,10,1.1,0.2,0.8,0.7,0.6,0.7,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,1.0,0.0,1.0,0,1,1,0,False,False,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,early
Bundesliga,2024,2024-11-30,Freiburg,M'gladbach,1.95,3.8,3.6,5.08,3.43,Home,MEDIUM,0.7032,0.1974,0.0994,unclear,unclear,False,False,False,,10,10,1.4,1.7,0.6,0.4,0.3,0.5,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,B_TIER,68,"Adjusted strength MEDIUM, no warning, subtype not suppressed.",strength:MEDIUM,-0.42,H,3.0,1.0,4.0,1,0,0,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,early
Bundesliga,2024,2024-11-30,RB Leipzig,Wolfsburg,1.7,4.0,4.75,5.67,4.17,Draw,MEDIUM,0.1675,0.821,0.0115,unclear,unclear,False,False,False,,10,10,1.8,1.5,0.5,0.6,0.4,0.7,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,A,1.0,5.0,6.0,1,0,0,1,,,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-11-30,Union Berlin,Leverkusen,4.75,3.7,1.75,5.45,4.46,Home,LOW,0.3946,0.3013,0.3042,unclear,BTTS YES likely,False,False,False,,10,10,1.5,1.7,0.3,0.7,0.3,0.9,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,A,1.0,2.0,3.0,1,0,1,1,True,True,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-11-30,Werder Bremen,Stuttgart,3.0,3.75,2.2,4.4,5.09,Home,MEDIUM,0.6463,0.2597,0.094,OVER likely,BTTS YES likely,True,True,False,,10,10,1.4,1.6,0.7,0.7,0.6,0.7,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,D,2.0,2.0,4.0,1,0,0,1,True,,2024-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-11-30,Dortmund,Bayern Munich,4.75,4.1,1.67,6.44,4.75,Draw,MEDIUM,0.032,0.5662,0.4018,OVER likely,unclear,True,False,False,,10,10,1.6,2.6,0.9,0.7,0.8,0.3,walk_forward,2024-11-30,2024-11-30,100,6,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,D,1.0,1.0,2.0,0,1,1,1,True,False,2024-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-01,Mainz,Hoffenheim,2.1,3.4,3.5,5.03,4.72,Home,LOW,0.4102,0.1842,0.4056,unclear,BTTS YES likely,False,False,False,,10,10,1.5,0.9,0.6,0.6,0.5,0.7,walk_forward,2024-12-01,2024-12-01,106,2,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,2.0,0.0,2.0,0,1,1,0,False,False,2024-12,medium_fav (2.0-2.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-01,Heidenheim,Ein Frankfurt,3.7,3.7,1.95,6.38,4.49,Draw,MEDIUM,0.036,0.5569,0.4071,OVER likely,BTTS YES likely,False,False,False,,10,10,0.7,2.3,0.6,0.7,0.4,0.8,walk_forward,2024-12-01,2024-12-01,106,2,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,A,0.0,4.0,4.0,1,0,0,0,True,False,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-06,Stuttgart,Union Berlin,1.8,3.6,4.5,5.53,4.43,Home,MEDIUM,0.656,0.3229,0.0211,unclear,unclear,False,False,False,,10,10,1.6,1.2,0.7,0.4,0.7,0.4,walk_forward,2024-12-06,2024-12-06,108,1,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,H,3.0,2.0,5.0,1,0,0,1,,,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-07,M'gladbach,Dortmund,3.2,3.75,2.1,4.63,5.09,Home,MEDIUM,0.6885,0.2618,0.0497,OVER likely,BTTS YES likely,False,True,False,,10,10,1.4,1.6,0.5,0.9,0.6,0.9,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,D,1.0,1.0,2.0,0,1,1,1,True,,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-07,Leverkusen,St Pauli,1.25,6.5,10.0,7.32,4.6,Home,HIGH,0.9962,0.0019,0.0019,unclear,BTTS YES likely,False,False,False,,10,10,2.0,1.1,0.7,0.5,0.9,0.3,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,2.0,1.0,3.0,1,0,1,1,True,True,2024-12,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-07,Holstein Kiel,RB Leipzig,5.75,4.2,1.57,6.67,4.42,Away,LOW,0.4047,0.1699,0.4254,OVER likely,unclear,False,False,False,,10,10,0.5,1.5,0.8,0.5,0.7,0.4,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,A,0.0,2.0,2.0,0,1,1,0,False,False,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-07,Ein Frankfurt,Augsburg,1.53,4.1,6.25,6.66,4.8,Draw,MEDIUM,0.4088,0.5629,0.0283,OVER likely,BTTS YES likely,True,True,False,,10,10,2.3,1.4,0.7,0.7,0.7,0.6,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,D,2.0,2.0,4.0,1,0,0,1,True,True,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-07,Bochum,Werder Bremen,3.2,3.5,2.2,5.4,5.31,Away,MEDIUM,0.0482,0.1167,0.8351,OVER likely,BTTS YES likely,True,True,False,,10,10,0.2,1.4,0.7,0.8,0.7,0.7,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,goals_signal_with_control_not_required,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,A,0.0,1.0,1.0,0,1,1,0,False,False,2024-12,medium_fav (2.0-2.5),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-07,Bayern Munich,Heidenheim,1.1,11.0,19.0,8.77,3.87,Home,HIGH,0.9469,0.0528,0.0003,OVER likely,unclear,False,False,False,,10,10,2.4,0.4,0.7,0.6,0.4,0.4,walk_forward,2024-12-07,2024-12-07,109,6,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,H,4.0,2.0,6.0,1,0,0,1,True,True,2024-12,heavy_fav (<=1.5),high (7-10),low (<4),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-08,Wolfsburg,Mainz,2.15,3.3,3.5,4.52,4.66,Away,MEDIUM,0.037,0.1153,0.8478,unclear,BTTS YES likely,False,False,False,,10,10,1.5,1.7,0.7,0.5,0.8,0.4,walk_forward,2024-12-08,2024-12-08,115,2,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,H,4.0,3.0,7.0,1,0,0,1,True,,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-08,Hoffenheim,Freiburg,2.7,3.4,2.55,4.18,4.32,Home,MEDIUM,0.5088,0.1416,0.3496,unclear,unclear,False,False,False,,10,10,0.9,1.7,0.5,0.7,0.6,0.4,walk_forward,2024-12-08,2024-12-08,115,2,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,D,1.0,1.0,2.0,0,1,1,1,True,,2024-12,no_clear_fav (>2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-13,Freiburg,Wolfsburg,2.2,3.3,3.3,4.5,4.94,Home,MEDIUM,0.7908,0.1808,0.0283,OVER likely,BTTS YES likely,False,False,False,,10,10,1.5,1.8,0.6,0.7,0.4,0.8,walk_forward,2024-12-13,2024-12-13,117,1,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,H,3.0,2.0,5.0,1,0,0,1,True,True,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-14,St Pauli,Werder Bremen,2.63,3.4,2.63,3.5,4.08,Home,LOW,0.5139,0.1089,0.3771,unclear,unclear,False,False,False,,10,10,1.1,1.4,0.5,0.7,0.3,0.6,walk_forward,2024-12-14,2024-12-14,118,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,A,0.0,2.0,2.0,0,1,1,0,,,2024-12,no_clear_fav (>2.5),low (3-5),medium (4-6),NO_CLEAR_FAVORITE,mid
Bundesliga,2024,2024-12-14,Union Berlin,Bochum,1.6,3.8,6.0,6.5,4.05,Home,MEDIUM,0.9093,0.0288,0.0619,unclear,unclear,False,False,False,,10,10,1.1,0.2,0.5,0.6,0.5,0.6,walk_forward,2024-12-14,2024-12-14,118,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,OBSERVE_ONLY,20,Market type is OBSERVE_ONLY — insufficient signal for classification.,observe_only_type,-5.32,A,0.0,2.0,2.0,0,1,1,0,,,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-14,M'gladbach,Holstein Kiel,1.44,4.75,6.5,6.97,4.22,Home,MEDIUM,0.9808,0.0186,0.0006,unclear,BTTS YES likely,False,True,False,,10,10,1.5,0.5,0.4,0.7,0.6,0.6,walk_forward,2024-12-14,2024-12-14,118,5,logistic_regression,True,,BTTS_OVER,BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Btts has weak cross-league evidence.,downgrade_subtype:BTTS,-2.87,H,4.0,1.0,5.0,1,0,0,1,True,True,2024-12,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-14,Mainz,Bayern Munich,6.5,4.5,1.48,6.58,3.8,Away,MEDIUM,0.0125,0.3963,0.5913,unclear,unclear,False,False,False,,10,10,1.7,2.4,0.5,0.7,0.4,0.4,walk_forward,2024-12-14,2024-12-14,118,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_X2,away_or_draw_X2,MEDIUM,favorite_direction_but_control_below_hard_1x2,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,B_TIER,68,"Adjusted strength MEDIUM, no warning, subtype not suppressed.",strength:MEDIUM,-0.42,H,2.0,1.0,3.0,1,0,1,1,False,False,2024-12,heavy_fav (<=1.5),medium (5-7),low (<4),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-14,Augsburg,Leverkusen,5.75,4.0,1.57,6.47,5.5,Home,MEDIUM,0.6694,0.196,0.1346,OVER likely,BTTS YES likely,True,True,False,,10,10,1.2,2.0,0.7,0.7,0.6,0.9,walk_forward,2024-12-14,2024-12-14,118,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,goals_signal_with_control_not_required,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,A,0.0,2.0,2.0,0,1,1,0,False,False,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-15,Heidenheim,Stuttgart,4.0,4.0,1.8,6.33,4.42,Draw,MEDIUM,0.0056,0.7719,0.2225,OVER likely,unclear,False,False,False,,10,10,0.4,1.6,0.6,0.7,0.4,0.7,walk_forward,2024-12-15,2024-12-15,123,3,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,A,1.0,3.0,4.0,1,0,0,1,True,True,2024-12,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Bundesliga,2024,2024-12-15,Dortmund,Hoffenheim,1.44,5.0,6.0,6.37,4.95,Home,MEDIUM,0.9365,0.0629,0.0006,OVER likely,BTTS YES likely,False,True,False,,10,10,1.4,1.0,0.8,0.4,0.9,0.6,walk_forward,2024-12-15,2024-12-15,123,3,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,HARD_NO_GO,20,BOTH_OVER25_BTTS: permanent HARD_NO_GO (48.7% historical),SUBTYPE_SUPPRESSED,-5.32,D,1.0,1.0,2.0,0,1,1,1,True,False,2024-12,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-15,RB Leipzig,Ein Frankfurt,2.05,4.0,3.2,4.95,4.25,Away,MEDIUM,0.0494,0.1083,0.8423,unclear,unclear,False,False,False,,10,10,1.7,2.1,0.5,0.7,0.4,0.7,walk_forward,2024-12-15,2024-12-15,123,3,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,unknown_league,LOW,No league-specific profile available. Standard cross-league rules apply.,,,,C_TIER,45,Neutral conviction — no strong signal in either direction.,strength:LOW,-2.77,H,2.0,1.0,3.0,1,0,1,1,True,,2024-12,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Bundesliga,2024,2024-12-20,Bayern Munich,RB Leipzig,1.2,7.5,11.0,6.73,4.17,Home,MEDIUM,0.9479,0.052,0.0001,OVER likely,unclear,False,False,False,,10,10,2.1,1.9,0.7,0.6,0.5,0.5,walk_forward,2024-12-20,2024-12-20,126,1,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,goals_signal_with_control_not_required,unknown_league,MEDIUM,No league-specific profile available. Standard cross-league rules apply.,,,,DOWNGRADE,44,Over_25 in bundesliga is outside goal-friendly context.,over25_non_goal_friendly_league,-2.87,H,5.0,1.0,6.0,1,0,0,1,True,True,2024-12,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
